creator,platform,url,title,views,posted_at,duration
dental_example_a,instagram,https://example.com/p/a1,"What happens during a root canal",18400,20260701,42
dental_example_a,instagram,https://example.com/p/a2,"Why your gums bleed",21200,20260705,38
dental_example_a,instagram,https://example.com/p/a3,"Electric vs manual toothbrush",16900,20260709,51
dental_example_a,instagram,https://example.com/p/a4,"I have not been to a dentist in 10 years",214000,20260713,47
dental_example_a,instagram,https://example.com/p/a5,"Do I need this crown",19800,20260717,44
dental_example_a,instagram,https://example.com/p/a6,"Whitening and enamel",23100,20260721,39
dental_example_a,instagram,https://example.com/p/a7,"Night guard explained",17500,20260725,55
dental_example_b,instagram,https://example.com/p/b1,"Wisdom teeth removal day",42000,20260702,60
dental_example_b,instagram,https://example.com/p/b2,"Flossing technique",38500,20260706,33
dental_example_b,instagram,https://example.com/p/b3,"Cost of implants explained",41200,20260710,58
dental_example_b,instagram,https://example.com/p/b4,"Kids first dental visit",39800,20260714,45
dental_example_b,instagram,https://example.com/p/b5,"What a cavity actually is",157000,20260718,41
dental_example_b,instagram,https://example.com/p/b6,"Sensitive teeth causes",36400,20260722,49
